Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.467475891113281,12.494579315185547,11.898308753967285,11.92541217803955,5.136842727661133,684882
2000-01-04,11.884757041931152,11.911860466003418,11.735690116882324,11.776344299316406,5.072632789611816,347284
2000-01-05,11.776344299316406,12.115134239196777,11.776344299316406,11.993169784545898,5.1660308837890625,665050
2000-01-06,11.898308753967285,12.088030815124512,11.884757041931152,11.979618072509766,5.160192012786865,1022480
2000-01-07,11.979618072509766,12.250650405883789,11.898308753967285,11.96606731414795,5.154356956481934,1384061
2000-01-10,12.196443557739258,12.521682739257812,12.12868595123291,12.413269996643066,5.346987724304199,857832
2000-01-11,12.3861665725708,12.792715072631836,12.169341087341309,12.535234451293945,5.399522304534912,1138242
2000-01-12,12.548786163330078,12.955333709716797,12.548786163330078,12.792715072631836,5.510433197021484,2153804
2000-01-13,12.819817543029785,13.117953300476074,12.819817543029785,12.901126861572266,5.557131767272949,1583761
2000-01-14,12.955333709716797,13.009539604187012,12.792715072631836,12.928231239318848,5.568805694580078,1252619
2000-01-18,12.968886375427246,12.982437133789062,12.68430233001709,12.724957466125488,5.4812445640563965,816785
2000-01-19,12.711404800415039,12.711404800415039,12.33195972442627,12.359063148498535,5.323637008666992,1357773
2000-01-20,12.3861665725708,12.3861665725708,11.993169784545898,12.047375679016113,5.1893792152404785,808022
2000-01-21,12.074480056762695,12.115134239196777,11.844101905822754,11.96606731414795,5.154356956481934,907642
2000-01-24,12.169341087341309,12.359063148498535,11.708585739135742,11.871206283569336,5.113494396209717,1466155
2000-01-25,11.844101905822754,12.088030815124512,11.437554359436035,11.545967102050781,4.973400115966797,806178
2000-01-26,11.545967102050781,11.92541217803955,11.491761207580566,11.871206283569336,5.113494396209717,936236
2000-01-27,11.844101905822754,12.169341087341309,11.816999435424805,11.979618072509766,5.160192012786865,459355
2000-01-28,11.979618072509766,11.979618072509766,11.58662223815918,11.627277374267578,5.0084228515625,373111
2000-01-31,11.681483268737793,11.816999435424805,11.627277374267578,11.654379844665527,5.020097255706787,527152
2000-02-01,11.654379844665527,11.789896011352539,11.613724708557129,11.695034980773926,5.03761100769043,769743
2000-02-02,11.654379844665527,11.708585739135742,11.58662223815918,11.613724708557129,5.002584934234619,558513
2000-02-03,11.640828132629395,11.735690116882324,11.545967102050781,11.654379844665527,5.020097255706787,598176
2000-02-04,11.640828132629395,11.640828132629395,11.356245040893555,11.396899223327637,4.909189224243164,432606
2000-02-07,11.437554359436035,11.545967102050781,11.302038192749023,11.41045093536377,4.915024757385254,1214340
2000-02-08,11.41045093536377,11.600172996520996,11.180073738098145,11.247832298278809,4.844978332519531,793264
2000-02-09,11.193625450134277,11.369795799255371,10.895489692687988,10.976799964904785,4.728230953216553,641068
2000-02-10,10.841283798217773,10.976799964904785,10.732871055603027,10.85483455657959,4.675695896148682,629538
2000-02-11,10.909042358398438,10.949695587158203,10.678664207458496,10.678664207458496,4.599808692932129,420614
2000-02-14,10.678664207458496,10.814180374145508,10.529597282409668,10.800628662109375,4.652345657348633,457049
